Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
France	Windonshore	5	scenario1	1	0.651
France	Windonshore	6	scenario1	1	0.7171
France	Windonshore	7	scenario1	1	0.7475
France	Windonshore	8	scenario1	1	0.7468
France	Windonshore	9	scenario1	1	0.744
France	Windonshore	10	scenario1	1	0.7463
France	Windonshore	11	scenario1	1	0.7445
France	Windonshore	12	scenario1	1	0.7349
France	Windonshore	13	scenario1	1	0.7195
France	Windonshore	14	scenario1	1	0.7013
France	Windonshore	15	scenario1	1	0.6678
France	Windonshore	16	scenario1	1	0.651
France	Windonshore	17	scenario1	1	0.6268
France	Windonshore	18	scenario1	1	0.6222
France	Windonshore	19	scenario1	1	0.6171
France	Windonshore	20	scenario1	1	0.6133
France	Windonshore	21	scenario1	1	0.6122
France	Windonshore	22	scenario1	1	0.5954
France	Windonshore	23	scenario1	1	0.5776
France	Windonshore	24	scenario1	1	0.5734
Germany	Windoffshore	1	scenario1	1	0.2196
Germany	Windoffshore	2	scenario1	1	0.2299
Germany	Windoffshore	3	scenario1	1	0.2262
Germany	Windoffshore	4	scenario1	1	0.2341
Germany	Windoffshore	5	scenario1	1	0.2451
Germany	Windoffshore	6	scenario1	1	0.2442
Germany	Windoffshore	7	scenario1	1	0.233
Germany	Windoffshore	8	scenario1	1	0.2112
Germany	Windoffshore	9	scenario1	1	0.2058
Germany	Windoffshore	10	scenario1	1	0.2326
Germany	Windoffshore	11	scenario1	1	0.267
Germany	Windoffshore	12	scenario1	1	0.2866
Germany	Windoffshore	13	scenario1	1	0.2811
Germany	Windoffshore	14	scenario1	1	0.258
Germany	Windoffshore	15	scenario1	1	0.2365
Germany	Windoffshore	16	scenario1	1	0.2055
Germany	Windoffshore	17	scenario1	1	0.1708
Germany	Windoffshore	18	scenario1	1	0.1369
Germany	Windoffshore	19	scenario1	1	0.1072
Germany	Windoffshore	20	scenario1	1	0.0899
Germany	Windoffshore	21	scenario1	1	0.0786
Germany	Windoffshore	22	scenario1	1	0.0718
Germany	Windoffshore	23	scenario1	1	0.0679
Germany	Windoffshore	24	scenario1	1	0.0676
