Node,GeneratorTechnology,Added_'Mixed_fuels+Other_fossil/non-renewable',col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23,col24
Austria,Bioexisting,Added'Otherrenewable',https://transparency.entsoe.eu/generation/r2/installedGenerationCapacityAggregation/show,,,,,,,,,,,,,,,,,,,,,
Austria,Gasexisting,,,,,Liginiteexisting,Nuclear,Coalexisting,Windonshore,Liginiteexisting,Geo,Hydrorun-of-the-river,Hydroregulated,Windoffshoregrounded,Solar,Solar,Oilexisting,Waste,Gasexisting,Gasexisting,GasOCGT,Wave,Bioexisting,Bioexisting
Austria,GasOCGT,,Country,Year,Unit,FossilPeat,Nuclear,FossilHardcoal,WindOnshore,FossilBrowncoal/Lignite,Geothermal,HydroRun-of-riverandpoundage,HydroWaterReservoir,WindOffshore,Otherrenewable,Solar,FossilOilshale,Waste,FossilGas,FossilCoal-derivedgas,FossilOil,Marine,Other,Biomass
Denmark,Gasexisting,,Bulgaria,2024,[MW],2080,356,705,4119,0,542,1807,0,4055,0,6,699,0,0,74,0,,,
Denmark,GasOCGT,,Croatia,2024,[MW],0,217,1137,0,10,428,1446,0,285,0,6,886,45,0,114,0,,,
Denmark,Hydrorun-of-the-river,,CzechR,2024,[MW],4040,1200,342,7200,0,340,766,0,4008,0,100,1620,0,0,410,0,,,
Denmark,Solar,,Denmark,2024,[MW],0,3022,4860,0,0,5,0,1526,3866,0,385,1568,959,0,1754,0,,,
Denmark,Waste,,Estonia,2024,[MW],0,0,447,0,0,8,0,0,812,1330,17,93,0,0,170,0,,,
Denmark,Windoffshoregrounded,,Finland,2024,[MW],4364,1410,6618,1044,0,3173,0,0,419,0,87,1742,1051,0,2143,0,,,
Denmark,Windonshore,,France,2024,[MW],61370,1812,22134,0,2,11598,8787,1483,17419,0,968,13133,3042,243,2435,0,,,
Estonia,Bioexisting,,Germany,2024,[MW],4056,12966,59841,18363,54,3731,1381,1290,76957,0,1808,37512,4118,0,10207,0,,,
Estonia,Gasexisting,,Greece,2024,[MW],0,0,5065,2650,0,327,2403,0,6828,0,0,6030,0,0,120,0,,,
Estonia,Hydrorun-of-the-river,,Hungary,2024,[MW],1916,42,325,787,3,33,28,0,3959,0,49,3161,425,0,249,0,,,
Estonia,Oilexisting,,Ireland,2024,[MW],0,855,1919,344,17,216,0,0,0,0,0,4265,1272,0,647,0,,,
Estonia,Solar,,Italy,2024,[MW],0,5583,11651,0,868,10291,4542,30,5928,0,670,47228,1564,0,1877,0,,,
Estonia,Waste,,Latvia,2024,[MW],0,0,136,0,0,1588,0,0,303,0,0,1112,0,0,166,0,,,
Estonia,Windonshore,,Lithuania,2024,[MW],0,0,1288,0,0,129,0,0,1165,0,70,1503,0,0,233,0,,,
Finland,Bioexisting,,Luxemb.,2024,[MW],0,0,208,0,0,22,11,0,415,0,24,72,0,0,83,0,,,
Finland,Gasexisting,,Netherlands,2024,[MW],486,4006,6812,0,0,38,0,0,24261,0,786,18351,0,0,416,0,,,
Finland,GasOCGT,,Macedonia,2024,[MW],0,0,37,824,0,0,644,0,22,0,0,251,165,0,7,0,,,
