Node,Period,MaxBiomethaneAvailability_[TJ]
Spain,7,539596.2839923152
Finland,7,21241.710678179043
France,7,498930.99871644843
GreatBrit.,7,805085.6494594902
Greece,7,79984.12543947696
Croatia,7,27920.210964587644
Hungary,7,204422.29468063856
Ireland,7,36006.042293474435
Italy,7,599967.0845170596
Lithuania,7,74688.69496382479
Luxemb.,7,54485.21999895454
Latvia,7,24665.080337054664
Macedonia,7,15491.263257707971
Netherlands,7,237887.54183506317
NO1,7,7287.0
NO2,7,7287.0
NO3,7,7287.0
NO4,7,7287.0
NO5,7,7287.0
Poland,7,352687.7932578093
Portugal,7,55289.36349933609
Romania,7,60440.59917440614
Serbia,7,48991.089216555025
Sweden,7,93281.77284314556
Slovenia,7,38707.746660543395
Slovakia,7,91635.78675827417
