Location,Latitude,Longitude
Austria,47.516232,14.550072
BosniaH,43.915886,17.679075
Belgium,50.503887,4.469936
Bulgaria,42.7249925,25.4833039
Switzerland,46.818188,8.227512
CzechR,49.817493,15.472962
Germany,51.165691,10.451526
Denmark,56.26392,9.501785
Estonia,58.595272,25.013607
Spain,40.463669,-3.74922
Finland,61.92411,25.748152
France,46.227638,2.213749
GreatBrit.,55.378052,-3.435973
Greece,39.074207,21.824312
Croatia,45.43845,13.708931
Hungary,47.162495,19.503304
Ireland,53.41291,-8.24389
Italy,41.871941,12.56738
Lithuania,55.169437,23.881275
Luxemb.,49.610001,6.12963
Latvia,56.879635,24.603189
Macedonia,41.608635,21.745275
Netherlands,52.132633,5.291266
NO1,59.913868,10.752245
NO2,58.14671,7.9956
NO3,63.446827,10.421906
NO4,67.280357,14.404916
NO5,60.397076,5.324383
Poland,51.919437,19.145136
Portugal,39.399872,-8.224454
Romania,45.943161,24.966761
Serbia,44.016521,21.005859
Sweden,60.128162,18.643501
Slovenia,46.151241,14.995463
Slovakia,48.669025,19.699024
