Node,Reserves_(tons)
NO2,44200000.0
NO5,555220000.0
NO3,240040000.0
GreatBrit.,127085798.4
Spain,340875243.5137261
Netherlands,88352489.28370737
Romania,53629975.601584665
Germany,13368462.3634987
Italy,28830371.653353803
Poland,49136771.86427858
Hungary,19058977.113030013
Denmark,11627429.521878855
Ireland,8892490.98233531
Croatia,5640777.979507775
Austria,4530463.880939294
