H2TerminalNodes,H2Terminals
Spain,PipelineH2Import
Italy,PipelineH2Import
Netherlands,LH2Import
Belgium,LH2Import
Croatia,LH2Import
Estonia,LH2Import
France,LH2Import
Germany,LH2Import
GreatBrit.,LH2Import
Greece,LH2Import
Ireland,LH2Import
Lithuania,LH2Import
Poland,LH2Import
Portugal,LH2Import
Romania,LH2Import
Spain,LH2Import
Italy,LH2Import
