Plant_type,Period,Ton_CO2_emissions_per_ton_H2
SMR,1,8.692249376558605
SMR,2,8.692249376558605
SMR,3,8.692249376558605
SMR,4,8.692249376558605
SMR,5,8.692249376558605
SMR,6,8.692249376558605
SMR,7,8.692249376558605
SMR_CCS,1,8.692249376558605
SMR_CCS,2,8.692249376558605
SMR_CCS,3,8.692249376558605
SMR_CCS,4,8.692249376558605
SMR_CCS,5,8.692249376558605
SMR_CCS,6,8.692249376558605
SMR_CCS,7,8.692249376558605
GHR_ATR_CCS,1,8.692249376558605
GHR_ATR_CCS,2,8.692249376558605
GHR_ATR_CCS,3,8.692249376558605
GHR_ATR_CCS,4,8.692249376558605
GHR_ATR_CCS,5,8.692249376558605
GHR_ATR_CCS,6,8.692249376558605
GHR_ATR_CCS,7,8.692249376558605
