Node,ElectrToHeatConv,Period,ElectrToHeatConvInitCap_in_MW
France,HeatPumpAir,3,2640.40404040404
France,HeatPumpAir,4,1056.161616161616
France,HeatPumpAir,5,0.0
France,HeatPumpAir,6,0.0
France,HeatPumpAir,7,0.0
France,HeatPumpGround,1,431.7808219178082
France,HeatPumpGround,2,350.8219178082192
France,HeatPumpGround,3,269.8630136986301
France,HeatPumpGround,4,188.9041095890411
France,HeatPumpGround,5,107.9452054794521
France,HeatPumpGround,6,26.98630136986301
France,HeatPumpGround,7,0.0
Germany,Convector,1,3005.218666666667
Germany,Convector,2,2658.462666666666
Germany,Convector,3,2311.706666666666
Germany,Convector,4,1964.950666666667
Germany,Convector,5,1618.194666666667
Germany,Convector,6,1271.438666666666
Germany,Convector,7,924.6826666666663
Germany,HeatPumpAir,1,528.8888888888889
Germany,HeatPumpAir,2,384.6464646464647
Germany,HeatPumpAir,3,240.4040404040404
Germany,HeatPumpAir,4,96.16161616161617
Germany,HeatPumpAir,5,0.0
Germany,HeatPumpAir,6,0.0
Germany,HeatPumpAir,7,0.0
Germany,HeatPumpGround,1,721.095890410959
Germany,HeatPumpGround,2,585.8904109589041
Germany,HeatPumpGround,3,450.6849315068494
Germany,HeatPumpGround,4,315.4794520547945
Germany,HeatPumpGround,5,180.2739726027397
Germany,HeatPumpGround,6,45.06849315068493
Germany,HeatPumpGround,7,0.0
GreatBrit.,Convector,1,11968.66666666667
GreatBrit.,Convector,2,10587.66666666667
GreatBrit.,Convector,3,9206.666666666666
GreatBrit.,Convector,4,7825.666666666666
GreatBrit.,Convector,5,6444.666666666666
GreatBrit.,Convector,6,5063.666666666666
GreatBrit.,Convector,7,3682.666666666665
GreatBrit.,HeatPumpAir,1,180.8888888888889
GreatBrit.,HeatPumpAir,2,131.5555555555555
GreatBrit.,HeatPumpAir,3,82.2222222222222
GreatBrit.,HeatPumpAir,4,32.88888888888889
GreatBrit.,HeatPumpAir,5,0.0
GreatBrit.,HeatPumpAir,6,0.0
GreatBrit.,HeatPumpAir,7,0.0
GreatBrit.,HeatPumpGround,1,46.02739726027397
GreatBrit.,HeatPumpGround,2,37.3972602739726
GreatBrit.,HeatPumpGround,3,28.76712328767123
GreatBrit.,HeatPumpGround,4,20.13698630136986
GreatBrit.,HeatPumpGround,5,11.50684931506849
GreatBrit.,HeatPumpGround,6,2.876712328767123
GreatBrit.,HeatPumpGround,7,0.0
Hungary,Convector,1,51.99999999999999
Hungary,Convector,2,45.99999999999999
Hungary,Convector,3,40.0
Hungary,Convector,4,34.0
Hungary,Convector,5,28.0
Hungary,Convector,6,22.0
Hungary,Convector,7,15.99999999999999
Hungary,HeatPumpAir,1,6.222222222222221
Hungary,HeatPumpAir,2,4.525252525252524
Hungary,HeatPumpAir,3,2.828282828282827
Hungary,HeatPumpAir,4,1.131313131313131
Hungary,HeatPumpAir,5,0.0
Hungary,HeatPumpAir,6,0.0
Hungary,HeatPumpAir,7,0.0
Hungary,HeatPumpGround,1,7.671232876712329
Hungary,HeatPumpGround,2,6.232876712328768
Hungary,HeatPumpGround,3,4.794520547945206
Hungary,HeatPumpGround,4,3.356164383561644
Hungary,HeatPumpGround,5,1.917808219178082
Hungary,HeatPumpGround,6,0.4794520547945207
Hungary,HeatPumpGround,7,0.0
Ireland,Convector,1,892.6666666666666
Ireland,Convector,2,789.6666666666666
Ireland,Convector,3,686.6666666666666
Ireland,Convector,4,583.6666666666666
Ireland,Convector,5,480.6666666666666
Ireland,Convector,6,377.6666666666666
Ireland,Convector,7,274.6666666666666
Ireland,HeatPumpAir,1,7.111111111111111
Ireland,HeatPumpAir,2,5.171717171717171
Ireland,HeatPumpAir,3,3.232323232323232
Ireland,HeatPumpAir,4,1.292929292929293
Ireland,HeatPumpAir,5,0.0
Ireland,HeatPumpAir,6,0.0
Ireland,HeatPumpAir,7,0.0
Ireland,HeatPumpGround,1,6.575342465753425
Ireland,HeatPumpGround,2,5.342465753424658
Ireland,HeatPumpGround,3,4.109589041095891
Ireland,HeatPumpGround,4,2.876712328767124
Ireland,HeatPumpGround,5,1.643835616438356
Ireland,HeatPumpGround,6,0.4109589041095891
Ireland,HeatPumpGround,7,0.0
Luxemb.,Convector,1,78.0
Luxemb.,Convector,2,69.0
Luxemb.,Convector,3,60.0
Luxemb.,Convector,4,51.0
Luxemb.,Convector,5,42.0
Luxemb.,Convector,6,32.99999999999999
Luxemb.,Convector,7,23.99999999999999
Luxemb.,HeatPumpAir,1,2.444444444444445
Luxemb.,HeatPumpAir,2,1.777777777777778
Luxemb.,HeatPumpAir,3,1.111111111111111
Luxemb.,HeatPumpAir,4,0.4444444444444444
Luxemb.,HeatPumpAir,5,0.0
Luxemb.,HeatPumpAir,6,0.0
Luxemb.,HeatPumpAir,7,0.0
Luxemb.,HeatPumpGround,1,0.2191780821917808
Luxemb.,HeatPumpGround,2,0.1780821917808219
Luxemb.,HeatPumpGround,3,0.136986301369863
Luxemb.,HeatPumpGround,4,0.0958904109589041
Luxemb.,HeatPumpGround,5,0.0547945205479452
Luxemb.,HeatPumpGround,6,0.0136986301369863
Luxemb.,HeatPumpGround,7,0.0
Netherlands,Convector,1,86.66666666666666
Netherlands,Convector,2,76.66666666666666
Netherlands,Convector,3,66.66666666666666
Netherlands,Convector,4,56.66666666666666
Netherlands,Convector,5,46.66666666666666
Netherlands,Convector,6,36.66666666666666
Netherlands,Convector,7,26.66666666666666
Netherlands,HeatPumpAir,1,404.4444444444445
Netherlands,HeatPumpAir,2,294.1414141414141
Netherlands,HeatPumpAir,3,183.8383838383838
Netherlands,HeatPumpAir,4,73.53535353535352
Netherlands,HeatPumpAir,5,0.0
Netherlands,HeatPumpAir,6,0.0
Netherlands,HeatPumpAir,7,0.0
Netherlands,HeatPumpGround,1,186.0821917808219
Netherlands,HeatPumpGround,2,151.1917808219178
Netherlands,HeatPumpGround,3,116.3013698630137
Netherlands,HeatPumpGround,4,81.41095890410959
Netherlands,HeatPumpGround,5,46.52054794520548
Netherlands,HeatPumpGround,6,11.63013698630137
Netherlands,HeatPumpGround,7,0.0
NO1,Convector,1,1820.0832
NO1,Convector,2,1610.0736
NO1,Convector,3,1400.064
NO1,Convector,4,1190.0544
NO1,Convector,5,980.0448
NO1,Convector,6,770.0351999999998
NO1,Convector,7,560.0255999999997
NO1,HeatPumpAir,1,181.4897777777778
NO1,HeatPumpAir,2,131.9925656565657
NO1,HeatPumpAir,3,82.49535353535354
NO1,HeatPumpAir,4,32.99814141414142
NO1,HeatPumpAir,5,0.0
NO1,HeatPumpAir,6,0.0
NO1,HeatPumpAir,7,0.0
NO2,Convector,1,1485.8688
NO2,Convector,2,1314.4224
NO2,Convector,3,1142.976
NO2,Convector,4,971.5295999999998
NO2,Convector,5,800.0831999999998
NO2,Convector,6,628.6367999999998
NO2,Convector,7,457.1903999999998
NO2,HeatPumpAir,1,148.1635555555556
NO2,HeatPumpAir,2,107.7553131313131
NO2,HeatPumpAir,3,67.3470707070707
NO2,HeatPumpAir,4,26.93882828282828
NO2,HeatPumpAir,5,0.0
NO2,HeatPumpAir,6,0.0
NO2,HeatPumpAir,7,0.0
NO3,Convector,1,1027.8528
NO3,Convector,2,909.2543999999999
NO3,Convector,3,790.656
NO3,Convector,4,672.0576
NO3,Convector,5,553.4591999999999
NO3,Convector,6,434.8607999999999
NO3,Convector,7,316.2623999999998
NO3,HeatPumpAir,1,102.4924444444445
NO3,HeatPumpAir,2,74.5399595959596
NO3,HeatPumpAir,3,46.58747474747474
NO3,HeatPumpAir,4,18.6349898989899
NO3,HeatPumpAir,5,0.0
NO3,HeatPumpAir,6,0.0
NO3,HeatPumpAir,7,0.0
NO4,Convector,1,746.0543999999998
NO4,Convector,2,659.9711999999998
NO4,Convector,3,573.8879999999999
NO4,Convector,4,487.8047999999999
NO4,Convector,5,401.7215999999999
NO4,Convector,6,315.6383999999999
NO4,Convector,7,229.5551999999999
NO4,HeatPumpAir,1,74.39288888888889
NO4,HeatPumpAir,2,54.10391919191919
NO4,HeatPumpAir,3,33.81494949494949
NO4,HeatPumpAir,4,13.52597979797979
NO4,HeatPumpAir,5,0.0
NO4,HeatPumpAir,6,0.0
NO4,HeatPumpAir,7,0.0
NO5,Convector,1,656.448
NO5,Convector,2,580.704
NO5,Convector,3,504.9599999999999
NO5,Convector,4,429.216
NO5,Convector,5,353.472
NO5,Convector,6,277.728
NO5,Convector,7,201.9839999999999
NO5,HeatPumpAir,1,65.45777777777778
NO5,HeatPumpAir,2,47.60565656565657
NO5,HeatPumpAir,3,29.75353535353535
NO5,HeatPumpAir,4,11.90141414141414
NO5,HeatPumpAir,5,0.0
NO5,HeatPumpAir,6,0.0
NO5,HeatPumpAir,7,0.0
Poland,Convector,1,5165.333333333333
Poland,Convector,2,4569.333333333333
Poland,Convector,3,3973.333333333333
Poland,Convector,4,3377.333333333333
Poland,Convector,5,2781.333333333333
Poland,Convector,6,2185.333333333333
Poland,Convector,7,1589.333333333333
Poland,HeatPumpAir,1,2.222222222222222
Poland,HeatPumpAir,2,1.616161616161616
Poland,HeatPumpAir,3,1.01010101010101
Poland,HeatPumpAir,4,0.404040404040404
Poland,HeatPumpAir,5,0.0
Poland,HeatPumpAir,6,0.0
Poland,HeatPumpAir,7,0.0
Poland,HeatPumpGround,1,8.767123287671232
Poland,HeatPumpGround,2,7.123287671232876
Poland,HeatPumpGround,3,5.47945205479452
Poland,HeatPumpGround,4,3.835616438356164
Poland,HeatPumpGround,5,2.191780821917808
Poland,HeatPumpGround,6,0.547945205479452
Poland,HeatPumpGround,7,0.0
Romania,Convector,1,624.0
Romania,Convector,2,552.0
Romania,Convector,3,480.0
Romania,Convector,4,408.0
Romania,Convector,5,336.0
Romania,Convector,6,263.9999999999999
Romania,Convector,7,191.9999999999999
Romania,HeatPumpAir,1,0.0
Romania,HeatPumpAir,2,0.0
Romania,HeatPumpAir,3,0.0
Romania,HeatPumpAir,4,0.0
Romania,HeatPumpAir,5,0.0
Romania,HeatPumpAir,6,0.0
Romania,HeatPumpAir,7,0.0
Romania,HeatPumpGround,1,0.0
Romania,HeatPumpGround,2,0.0
Romania,HeatPumpGround,3,0.0
Romania,HeatPumpGround,4,0.0
Romania,HeatPumpGround,5,0.0
Romania,HeatPumpGround,6,0.0
Romania,HeatPumpGround,7,0.0
Slovakia,Convector,1,476.6666666666666
Slovakia,Convector,2,421.6666666666666
Slovakia,Convector,3,366.6666666666666
Slovakia,Convector,4,311.6666666666666
Slovakia,Convector,5,256.6666666666666
Slovakia,Convector,6,201.6666666666666
Slovakia,Convector,7,146.6666666666666
Slovakia,HeatPumpAir,1,13.11111111111111
Slovakia,HeatPumpAir,2,9.535353535353535
Slovakia,HeatPumpAir,3,5.959595959595958
Slovakia,HeatPumpAir,4,2.383838383838384
Slovakia,HeatPumpAir,5,0.0
Slovakia,HeatPumpAir,6,0.0
Slovakia,HeatPumpAir,7,0.0
Slovakia,HeatPumpGround,1,3.287671232876713
Slovakia,HeatPumpGround,2,2.671232876712329
Slovakia,HeatPumpGround,3,2.054794520547945
Slovakia,HeatPumpGround,4,1.438356164383562
Slovakia,HeatPumpGround,5,0.8219178082191781
Slovakia,HeatPumpGround,6,0.2054794520547946
Slovakia,HeatPumpGround,7,0.0
Slovenia,Convector,1,346.6666666666666
Slovenia,Convector,2,306.6666666666666
Slovenia,Convector,3,266.6666666666666
Slovenia,Convector,4,226.6666666666667
Slovenia,Convector,5,186.6666666666667
Slovenia,Convector,6,146.6666666666667
Slovenia,Convector,7,106.6666666666666
Slovenia,HeatPumpAir,1,5.777777777777778
Slovenia,HeatPumpAir,2,4.202020202020202
Slovenia,HeatPumpAir,3,2.626262626262626
Slovenia,HeatPumpAir,4,1.05050505050505
Slovenia,HeatPumpAir,5,0.0
Slovenia,HeatPumpAir,6,0.0
Slovenia,HeatPumpAir,7,0.0
Slovenia,HeatPumpGround,1,12.27397260273973
Slovenia,HeatPumpGround,2,9.972602739726028
Slovenia,HeatPumpGround,3,7.671232876712329
Slovenia,HeatPumpGround,4,5.36986301369863
Slovenia,HeatPumpGround,5,3.068493150684932
Slovenia,HeatPumpGround,6,0.7671232876712328
Slovenia,HeatPumpGround,7,0.0
Sweden,Convector,1,3258.666666666667
Sweden,Convector,2,2882.666666666667
Sweden,Convector,3,2506.666666666667
Sweden,Convector,4,2130.666666666667
Sweden,Convector,5,1754.666666666667
Sweden,Convector,6,1378.666666666667
Sweden,Convector,7,1002.666666666666
