PlantType,Period,RetirementFactor
NG-Cement,1,0.48
NG-Cement,2,0.6000000000000001
NG-Cement,3,0.7200000000000001
NG-Cement,4,0.8400000000000001
NG-Cement,5,0.96
NG-Cement,6,1.0
NG-Cement,7,1.0
