PlantType,Period,RetirementFactor
BF-BOF,1,0.4
BF-BOF,2,0.6000000000000001
BF-BOF,3,0.8
BF-BOF,4,1.0
BF-BOF,5,1.0
BF-BOF,6,1.0
BF-BOF,7,1.0
EAF,1,0.4
EAF,2,0.6000000000000001
EAF,3,0.8
EAF,4,1.0
EAF,5,1.0
EAF,6,1.0
EAF,7,1.0
