FromNode,ToNode,LineType
Germany,Belgium,HVAC_OverheadLine
Germany,CzechR,HVAC_OverheadLine
Germany,Denmark,HVAC_OverheadLine
Germany,EnergyhubEU,HVDC_OffshoreToOnshore
Germany,France,HVAC_OverheadLine
Germany,GreatBrit.,HVDC_Cable
Germany,HelgoländerBucht,HVDC_Cable
Germany,Italy,HVAC_OverheadLine
Germany,Luxemb.,HVAC_OverheadLine
Germany,Netherlands,HVAC_OverheadLine
Germany,NO2,HVDC_Cable
Germany,Poland,HVAC_OverheadLine
Germany,Sweden,HVDC_Cable
Germany,Switzerland,HVAC_OverheadLine
GreatBrit.,Belgium,HVDC_Cable
GreatBrit.,Denmark,HVDC_Cable
GreatBrit.,DoggerBank,HVDC_Cable
GreatBrit.,EastAnglia,HVDC_Cable
GreatBrit.,EnergyhubEU,HVDC_OffshoreToOnshore
GreatBrit.,FirthofForth,HVDC_Cable
GreatBrit.,France,HVDC_Cable
GreatBrit.,Germany,HVDC_Cable
GreatBrit.,Hornsea,HVDC_Cable
GreatBrit.,Ireland,HVDC_Cable
GreatBrit.,MorayFirth,HVDC_Cable
GreatBrit.,Netherlands,HVDC_Cable
GreatBrit.,NO2,HVDC_Cable
GreatBrit.,NO5,HVDC_Cable
GreatBrit.,Norfolk,HVDC_Cable
GreatBrit.,OuterDowsing,HVDC_Cable
Greece,Bulgaria,HVAC_OverheadLine
Greece,Italy,HVDC_Cable
Greece,Macedonia,HVAC_OverheadLine
HelgoländerBucht,Borssele,HVDC_Cable
HelgoländerBucht,DoggerBank,HVDC_Cable
HelgoländerBucht,EastAnglia,HVDC_Cable
HelgoländerBucht,EnergyhubEU,HVDC_Cable
HelgoländerBucht,FirthofForth,HVDC_Cable
HelgoländerBucht,Germany,HVDC_Cable
HelgoländerBucht,HollandseeKust,HVDC_Cable
HelgoländerBucht,Hornsea,HVDC_Cable
HelgoländerBucht,MorayFirth,HVDC_Cable
HelgoländerBucht,Netherlands,HVDC_Cable
HelgoländerBucht,Nordsøen,HVDC_Cable
HelgoländerBucht,Norfolk,HVDC_Cable
HelgoländerBucht,OuterDowsing,HVDC_Cable
HelgoländerBucht,SørligeNordsjøI,HVDC_Cable
HelgoländerBucht,SørligeNordsjøII,HVDC_Cable
HelgoländerBucht,UtsiraNord,HVDC_Cable
HollandseeKust,Belgium,HVDC_Cable
HollandseeKust,Borssele,HVDC_Cable
HollandseeKust,DoggerBank,HVDC_Cable
HollandseeKust,EastAnglia,HVDC_Cable
HollandseeKust,EnergyhubEU,HVDC_Cable
HollandseeKust,FirthofForth,HVDC_Cable
HollandseeKust,HelgoländerBucht,HVDC_Cable
HollandseeKust,Hornsea,HVDC_Cable
HollandseeKust,MorayFirth,HVDC_Cable
HollandseeKust,Netherlands,HVDC_Cable
HollandseeKust,Nordsøen,HVDC_Cable
HollandseeKust,Norfolk,HVDC_Cable
HollandseeKust,OuterDowsing,HVDC_Cable
HollandseeKust,SørligeNordsjøI,HVDC_Cable
HollandseeKust,SørligeNordsjøII,HVDC_Cable
HollandseeKust,UtsiraNord,HVDC_Cable
Hornsea,Borssele,HVDC_Cable
Hornsea,DoggerBank,HVDC_Cable
Hornsea,EastAnglia,HVDC_Cable
Hornsea,EnergyhubEU,HVDC_Cable
Hornsea,FirthofForth,HVDC_Cable
Hornsea,GreatBrit.,HVDC_Cable
Hornsea,HelgoländerBucht,HVDC_Cable
Hornsea,HollandseeKust,HVDC_Cable
Hornsea,MorayFirth,HVDC_Cable
Hornsea,Nordsøen,HVDC_Cable
Hornsea,Norfolk,HVDC_Cable
Hornsea,OuterDowsing,HVDC_Cable
Hornsea,SørligeNordsjøI,HVDC_Cable
Hornsea,SørligeNordsjøII,HVDC_Cable
Hornsea,UtsiraNord,HVDC_Cable
Hungary,Austria,HVAC_OverheadLine
Hungary,Croatia,HVAC_OverheadLine
Hungary,Poland,HVAC_OverheadLine
Hungary,Romania,HVAC_OverheadLine
Hungary,Serbia,HVAC_OverheadLine
Hungary,Slovakia,HVAC_OverheadLine
Hungary,Slovenia,HVAC_OverheadLine
Ireland,France,HVDC_Cable
Ireland,GreatBrit.,HVDC_Cable
Ireland,Spain,HVDC_Cable
Italy,Austria,HVAC_OverheadLine
Italy,BosniaH,HVDC_Cable
Italy,Croatia,HVDC_Cable
Italy,France,HVAC_OverheadLine
Italy,Germany,HVAC_OverheadLine
Italy,Greece,HVDC_Cable
Italy,Slovenia,HVAC_OverheadLine
Italy,Switzerland,HVAC_OverheadLine
Latvia,Estonia,HVAC_OverheadLine
Latvia,Lithuania,HVAC_OverheadLine
Latvia,Sweden,HVDC_Cable
Lithuania,Latvia,HVAC_OverheadLine
Lithuania,Poland,HVAC_OverheadLine
Lithuania,Sweden,HVDC_Cable
Luxemb.,Belgium,HVAC_OverheadLine
Luxemb.,France,HVAC_OverheadLine
Luxemb.,Germany,HVAC_OverheadLine
Macedonia,Bulgaria,HVAC_OverheadLine
Macedonia,Greece,HVAC_OverheadLine
Macedonia,Serbia,HVAC_OverheadLine
MorayFirth,Borssele,HVDC_Cable
MorayFirth,DoggerBank,HVDC_Cable
MorayFirth,EastAnglia,HVDC_Cable
MorayFirth,EnergyhubEU,HVDC_Cable
MorayFirth,FirthofForth,HVDC_Cable
MorayFirth,GreatBrit.,HVDC_Cable
MorayFirth,HelgoländerBucht,HVDC_Cable
MorayFirth,HollandseeKust,HVDC_Cable
