Node	IntermitentGenerators	Operationalhour	Scenario	Period	GeneratorStochasticAvailabilityRaw
France	Wind onshore	3	scenario1	1	0.5505
France	Wind onshore	4	scenario1	1	0.5911
France	Wind onshore	5	scenario1	1	0.651
France	Wind onshore	6	scenario1	1	0.7171
France	Wind onshore	7	scenario1	1	0.7475
France	Wind onshore	8	scenario1	1	0.7468
France	Wind onshore	9	scenario1	1	0.744
France	Wind onshore	10	scenario1	1	0.7463
France	Wind onshore	11	scenario1	1	0.7445
France	Wind onshore	12	scenario1	1	0.7349
France	Wind onshore	13	scenario1	1	0.7195
France	Wind onshore	14	scenario1	1	0.7013
France	Wind onshore	15	scenario1	1	0.6678
France	Wind onshore	16	scenario1	1	0.651
France	Wind onshore	17	scenario1	1	0.6268
France	Wind onshore	18	scenario1	1	0.6222
France	Wind onshore	19	scenario1	1	0.6171
France	Wind onshore	20	scenario1	1	0.6133
France	Wind onshore	21	scenario1	1	0.6122
France	Wind onshore	22	scenario1	1	0.5954
France	Wind onshore	23	scenario1	1	0.5776
France	Wind onshore	24	scenario1	1	0.5734
Germany	Wind offshore	1	scenario1	1	0.2196
Germany	Wind offshore	2	scenario1	1	0.2299
Germany	Wind offshore	3	scenario1	1	0.2262
Germany	Wind offshore	4	scenario1	1	0.2341
Germany	Wind offshore	5	scenario1	1	0.2451
Germany	Wind offshore	6	scenario1	1	0.2442
Germany	Wind offshore	7	scenario1	1	0.233
Germany	Wind offshore	8	scenario1	1	0.2112
Germany	Wind offshore	9	scenario1	1	0.2058
Germany	Wind offshore	10	scenario1	1	0.2326
Germany	Wind offshore	11	scenario1	1	0.267
Germany	Wind offshore	12	scenario1	1	0.2866
Germany	Wind offshore	13	scenario1	1	0.2811
Germany	Wind offshore	14	scenario1	1	0.258
Germany	Wind offshore	15	scenario1	1	0.2365
Germany	Wind offshore	16	scenario1	1	0.2055
Germany	Wind offshore	17	scenario1	1	0.1708
Germany	Wind offshore	18	scenario1	1	0.1369
Germany	Wind offshore	19	scenario1	1	0.1072
Germany	Wind offshore	20	scenario1	1	0.0899
Germany	Wind offshore	21	scenario1	1	0.0786
Germany	Wind offshore	22	scenario1	1	0.0718
Germany	Wind offshore	23	scenario1	1	0.0679
Germany	Wind offshore	24	scenario1	1	0.0676
Denmark	Wind offshore	1	scenario1	1	0.2036
Denmark	Wind offshore	2	scenario1	1	0.2038
Denmark	Wind offshore	3	scenario1	1	0.1975
Denmark	Wind offshore	4	scenario1	1	0.1779
Denmark	Wind offshore	5	scenario1	1	0.1522
Denmark	Wind offshore	6	scenario1	1	0.1385
Denmark	Wind offshore	7	scenario1	1	0.1227
Denmark	Wind offshore	8	scenario1	1	0.1105
Denmark	Wind offshore	9	scenario1	1	0.1115
Denmark	Wind offshore	10	scenario1	1	0.1304
Denmark	Wind offshore	11	scenario1	1	0.1642
Denmark	Wind offshore	12	scenario1	1	0.203
Denmark	Wind offshore	13	scenario1	1	0.2327
Denmark	Wind offshore	14	scenario1	1	0.2508
Denmark	Wind offshore	15	scenario1	1	0.2595
Denmark	Wind offshore	16	scenario1	1	0.2618
Denmark	Wind offshore	17	scenario1	1	0.2592
Denmark	Wind offshore	18	scenario1	1	0.2442
Denmark	Wind offshore	19	scenario1	1	0.2259
Denmark	Wind offshore	20	scenario1	1	0.2197
Denmark	Wind offshore	21	scenario1	1	0.2232
Denmark	Wind offshore	22	scenario1	1	0.2281
Denmark	Wind offshore	23	scenario1	1	0.2308
Denmark	Wind offshore	24	scenario1	1	0.2347
France	Wind offshore	1	scenario1	1	0.9734
France	Wind offshore	2	scenario1	1	0.9808
France	Wind offshore	3	scenario1	1	0.9859
France	Wind offshore	4	scenario1	1	0.9901
France	Wind offshore	5	scenario1	1	0.9881
France	Wind offshore	6	scenario1	1	0.9905
France	Wind offshore	7	scenario1	1	0.9846
France	Wind offshore	8	scenario1	1	0.9835
France	Wind offshore	9	scenario1	1	0.9903
France	Wind offshore	10	scenario1	1	0.9907
France	Wind offshore	11	scenario1	1	0.9885
France	Wind offshore	12	scenario1	1	0.9906
France	Wind offshore	13	scenario1	1	0.9906
France	Wind offshore	14	scenario1	1	0.9901
France	Wind offshore	15	scenario1	1	0.9909
France	Wind offshore	16	scenario1	1	0.9842
France	Wind offshore	17	scenario1	1	0.9681
France	Wind offshore	18	scenario1	1	0.9601
France	Wind offshore	19	scenario1	1	0.9576
France	Wind offshore	20	scenario1	1	0.9497
France	Wind offshore	21	scenario1	1	0.9475
France	Wind offshore	22	scenario1	1	0.9349
France	Wind offshore	23	scenario1	1	0.9129
France	Wind offshore	24	scenario1	1	0.91
Germany	Hydro run-of-the-river	1	scenario1	1	0.425399427
Germany	Hydro run-of-the-river	2	scenario1	1	0.425105606
Germany	Hydro run-of-the-river	3	scenario1	1	0.426324485
Germany	Hydro run-of-the-river	4	scenario1	1	0.431521725
Germany	Hydro run-of-the-river	5	scenario1	1	0.435448644
Germany	Hydro run-of-the-river	6	scenario1	1	0.435943869
Germany	Hydro run-of-the-river	7	scenario1	1	0.43728917
Germany	Hydro run-of-the-river	8	scenario1	1	0.441147212
Germany	Hydro run-of-the-river	9	scenario1	1	0.441288455
Germany	Hydro run-of-the-river	10	scenario1	1	0.440201228
Germany	Hydro run-of-the-river	11	scenario1	1	0.443513477
Germany	Hydro run-of-the-river	12	scenario1	1	0.449105675
Germany	Hydro run-of-the-river	13	scenario1	1	0.44845177
Germany	Hydro run-of-the-river	14	scenario1	1	0.449147525
Germany	Hydro run-of-the-river	15	scenario1	1	0.454709208
Germany	Hydro run-of-the-river	16	scenario1	1	0.460479269
Germany	Hydro run-of-the-river	17	scenario1	1	0.462539507
Germany	Hydro run-of-the-river	18	scenario1	1	0.464591898
Germany	Hydro run-of-the-river	19	scenario1	1	0.465129844
Germany	Hydro run-of-the-river	20	scenario1	1	0.466850051
Germany	Hydro run-of-the-river	21	scenario1	1	0.466638185
Germany	Hydro run-of-the-river	22	scenario1	1	0.462937953
Germany	Hydro run-of-the-river	23	scenario1	1	0.457967401
Germany	Hydro run-of-the-river	24	scenario1	1	0.452167696
Denmark	Hydro run-of-the-river	1	scenario1	1	0.506
Denmark	Hydro run-of-the-river	2	scenario1	1	0.51
Denmark	Hydro run-of-the-river	3	scenario1	1	0.506
Denmark	Hydro run-of-the-river	4	scenario1	1	0.506
Denmark	Hydro run-of-the-river	5	scenario1	1	0.504
Denmark	Hydro run-of-the-river	6	scenario1	1	0.506
Denmark	Hydro run-of-the-river	7	scenario1	1	0.506
Denmark	Hydro run-of-the-river	8	scenario1	1	0.514
Denmark	Hydro run-of-the-river	9	scenario1	1	0.51
Denmark	Hydro run-of-the-river	10	scenario1	1	0.51
Denmark	Hydro run-of-the-river	11	scenario1	1	0.51
Denmark	Hydro run-of-the-river	12	scenario1	1	0.504
Denmark	Hydro run-of-the-river	13	scenario1	1	0.504
Denmark	Hydro run-of-the-river	14	scenario1	1	0.504
Denmark	Hydro run-of-the-river	15	scenario1	1	0.506
Denmark	Hydro run-of-the-river	16	scenario1	1	0.504
Denmark	Hydro run-of-the-river	17	scenario1	1	0.502
Denmark	Hydro run-of-the-river	18	scenario1	1	0.472
Denmark	Hydro run-of-the-river	19	scenario1	1	0.474
Denmark	Hydro run-of-the-river	20	scenario1	1	0.472
Denmark	Hydro run-of-the-river	21	scenario1	1	0.47
Denmark	Hydro run-of-the-river	22	scenario1	1	0.468
Denmark	Hydro run-of-the-river	23	scenario1	1	0.47
Denmark	Hydro run-of-the-river	24	scenario1	1	0.474
France	Hydro run-of-the-river	1	scenario1	1	0.713037055
France	Hydro run-of-the-river	2	scenario1	1	0.778283885
France	Hydro run-of-the-river	3	scenario1	1	0.789363536
France	Hydro run-of-the-river	4	scenario1	1	0.77717592
France	Hydro run-of-the-river	5	scenario1	1	0.757601871
France	Hydro run-of-the-river	6	scenario1	1	0.753170011
France	Hydro run-of-the-river	7	scenario1	1	0.710574911
France	Hydro run-of-the-river	8	scenario1	1	0.685953465
France	Hydro run-of-the-river	9	scenario1	1	0.689277361
France	Hydro run-of-the-river	10	scenario1	1	0.623661209
France	Hydro run-of-the-river	11	scenario1	1	0.619721778
France	Hydro run-of-the-river	12	scenario1	1	0.642127293
France	Hydro run-of-the-river	13	scenario1	1	0.636833682
France	Hydro run-of-the-river	14	scenario1	1	0.644712545
France	Hydro run-of-the-river	15	scenario1	1	0.629077927
France	Hydro run-of-the-river	16	scenario1	1	0.637695433
France	Hydro run-of-the-river	17	scenario1	1	0.639295827
France	Hydro run-of-the-river	18	scenario1	1	0.594238582
France	Hydro run-of-the-river	19	scenario1	1	0.555213591
France	Hydro run-of-the-river	20	scenario1	1	0.54462637
France	Hydro run-of-the-river	21	scenario1	1	0.531700111
France	Hydro run-of-the-river	22	scenario1	1	0.543887726
France	Hydro run-of-the-river	23	scenario1	1	0.559029915
