InterconnectorLinks,ToNode,Period,col3,InitialCap,Potential_expansion_(2030),Exponential_growth,Exp._Incl._Cap,Lowest,Highest,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
Borssele,FirthofForth,6,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,Germany,5,1400,,28,3ᵖʳᵈIC,LV,EE,Latvia,Estonia,0.7,Underconsideration,0.7
Borssele,FirthofForth,7,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,Germany,6,1400,,29,3ᵖʳᵈAC/4ᵗʰAC,FI,SE(SE1),,,?,Underpermitting,?
Borssele,FirthofForth,8,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,Germany,7,1400,,30,FI–SE(SE1)(unnamed),FI,SE(SE1),,,?,Underconsideration,?
Borssele,Hornsea,1,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,France,1,0,,31,Fenno-Skan3,FI,SE(SE3),Sweden,Finland,0.8,Underconsideration,0.8
Borssele,Hornsea,2,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,France,2,5800,,32,NO(NO3)–NO(NO4)(unnamed),NO(NO3),NO(NO4),NO3,NO4,1.2,Unknown,1.2
Borssele,Hornsea,3,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,France,3,5800,,,,,,,,,,
Borssele,Hornsea,4,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,France,4,5800,,,,,,,,,,
Borssele,Hornsea,5,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,France,5,5800,,,,,,,,,,
Borssele,Hornsea,6,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,France,6,5800,,,,,,,,,,
Borssele,Hornsea,7,2,0.0,0.0,0.0,0.0,0.0,0.0,GreatBrit.,France,7,5800,,,,,,,,,,
Borssele,Hornsea,8,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Belgium,1,0,,,,,,,,,,
Borssele,MorayFirth,1,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Belgium,2,1500,,,,,,,,,,
Borssele,MorayFirth,2,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Belgium,3,1500,,,,,,,,,,
Borssele,MorayFirth,3,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Belgium,4,1500,,,,,,,,,,
Borssele,MorayFirth,4,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Belgium,5,1500,,,,,,,,,,
Borssele,MorayFirth,5,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Belgium,6,1500,,,,,,,,,,
Borssele,MorayFirth,6,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Belgium,7,1500,,,,,,,,,,
Borssele,MorayFirth,7,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Germany,1,0,,,,,,,,,,
Borssele,MorayFirth,8,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Germany,2,3700,,,,,,,,,,
Borssele,Netherlands,1,1,1483.5,0.0,50000.0,50000.0,0.0,0.0,France,Germany,3,3700,,,,,,,,,,
Borssele,Netherlands,2,1,1483.5,0.0,50000.0,50000.0,0.0,0.0,France,Germany,4,3700,,,,,,,,,,
Borssele,Netherlands,3,1,1483.5,0.0,50000.0,50000.0,0.0,0.0,France,Germany,5,3700,,,,,,,,,,
Borssele,Netherlands,4,1,1483.5,0.0,50000.0,50000.0,0.0,0.0,France,Germany,6,3700,,,,,,,,,,
Borssele,Netherlands,5,1,1483.5,0.0,50000.0,50000.0,0.0,0.0,France,Germany,7,3700,,,,,,,,,,
Borssele,Netherlands,6,1,1483.5,0.0,50000.0,50000.0,0.0,0.0,France,Switzerland,1,0,,,,,,,,,,
Borssele,Netherlands,7,1,1483.5,0.0,50000.0,50000.0,0.0,0.0,France,Switzerland,2,600,,,,,,,,,,
Borssele,Netherlands,8,1,1483.5,0.0,50000.0,50000.0,0.0,0.0,France,Switzerland,3,600,,,,,,,,,,
Borssele,Norfolk,1,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Switzerland,4,600,,,,,,,,,,
Borssele,Norfolk,2,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Switzerland,5,600,,,,,,,,,,
Borssele,Norfolk,3,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Switzerland,6,600,,,,,,,,,,
Borssele,Norfolk,4,2,0.0,0.0,0.0,0.0,0.0,0.0,France,Switzerland,7,600,,,,,,,,,,
Borssele,Norfolk,5,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,France,1,0,,,,,,,,,,
Borssele,Norfolk,6,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,France,2,100,,,,,,,,,,
Borssele,Norfolk,7,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,France,3,100,,,,,,,,,,
Borssele,Norfolk,8,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,France,4,100,,,,,,,,,,
Borssele,OuterDowsing,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,France,5,100,,,,,,,,,,
Borssele,OuterDowsing,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,France,6,100,,,,,,,,,,
Borssele,OuterDowsing,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,France,7,100,,,,,,,,,,
Borssele,OuterDowsing,4,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,Switzerland,1,0,,,,,,,,,,
Borssele,OuterDowsing,5,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,Switzerland,2,1700,,,,,,,,,,
Borssele,OuterDowsing,6,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,Switzerland,3,1700,,,,,,,,,,
Borssele,OuterDowsing,7,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,Switzerland,4,1700,,,,,,,,,,
Borssele,OuterDowsing,8,2,0.0,0.0,0.0,0.0,0.0,0.0,Italy,Switzerland,5,1700,,,,,,,,,,
Croatia,BosniaH,1,0,615.0,0.0,615.0,615.0,0.0,0.0,Italy,Switzerland,6,1700,,,,,,,,,,
Croatia,BosniaH,2,0,615.0,0.0,990.4636500000004,1175.0,1175.0,3415.0,Italy,Switzerland,7,1700,,,,,,,,,,
Croatia,BosniaH,3,0,615.0,0.0,1595.151612961501,2076.8856000000005,2076.8856000000005,4305.0,Italy,Austria,1,0,,,,,,,,,,
Croatia,BosniaH,4,0,615.0,0.0,2569.007624190628,3529.3813776560014,3529.3813776560014,4305.0,Italy,Austria,2,600,,,,,,,,,,
Croatia,BosniaH,5,0,615.0,0.0,4137.41246883525,4305.0,4305.0,4305.0,Italy,Austria,3,600,,,,,,,,,,
Croatia,BosniaH,6,0,615.0,0.0,6663.344155183861,4305.0,4305.0,4305.0,Italy,Austria,4,600,,,,,,,,,,
Croatia,BosniaH,7,0,615.0,0.0,10731.382395365164,4305.0,4305.0,4305.0,Italy,Austria,5,600,,,,,,,,,,
Croatia,BosniaH,8,0,615.0,0.0,17282.998661559555,4305.0,4305.0,4305.0,Italy,Austria,6,600,,,,,,,,,,
CzechR,Austria,1,0,3000.0,0.0,3000.0,3000.0,0.0,0.0,Italy,Austria,7,600,,,,,,,,,,
CzechR,Austria,2,0,3000.0,0.0,4831.530000000002,4831.530000000002,3560.0,5800.0,Switzerland,Austria,1,0,,,,,,,,,,
CzechR,Austria,3,0,3000.0,0.0,7781.227380300005,7781.227380300005,4461.8856000000005,9300.0,Switzerland,Austria,2,500,,,,,,,,,,
CzechR,Austria,4,0,3000.0,0.0,12531.744508246966,12531.744508246966,5914.381377656002,13500.0,Switzerland,Austria,3,500,,,,,,,,,,
CzechR,Austria,5,0,3000.0,0.0,20182.49984797683,18400.0,8253.640352528768,18400.0,Switzerland,Austria,4,500,,,,,,,,,,
CzechR,Austria,6,0,3000.0,0.0,32504.117830165174,21000.0,12021.040324151109,21000.0,Switzerland,Austria,5,500,,,,,,,,,,
CzechR,Austria,7,0,3000.0,0.0,52348.206806659335,21000.0,17621.04032415111,21000.0,Switzerland,Austria,6,500,,,,,,,,,,
CzechR,Austria,8,0,3000.0,0.0,84307.31054419295,21000.0,21000.0,21000.0,Switzerland,Austria,7,500,,,,,,,,,,
Denmark,Germany,1,0,3215.0,0.0,3215.0,3215.0,0.0,0.0,Germany,Switzerland,1,0,,,,,,,,,,
Denmark,Germany,2,0,4215.0,3200.0,7415.0,7015.0,4775.0,7015.0,Germany,Switzerland,2,800,,,,,,,,,,
Denmark,Germany,3,0,4215.0,3200.0,11941.931650000004,10515.0,5676.8856000000005,10515.0,Germany,Switzerland,3,800,,,,,,,,,,
Denmark,Germany,4,0,4215.0,3200.0,19232.60034164151,14715.0,7129.381377656002,14715.0,Germany,Switzerland,4,800,,,,,,,,,,
Denmark,Germany,5,0,4215.0,3200.0,30974.29517621708,19615.0,9468.640352528768,19615.0,Germany,Switzerland,5,800,,,,,,,,,,
Denmark,Germany,6,0,4215.0,3200.0,49884.412124249386,25215.0,13236.040324151109,25215.0,Germany,Switzerland,6,800,,,,,,,,,,
Denmark,Germany,7,0,4215.0,3200.0,80339.3445702249,29505.0,18836.04032415111,29505.0,Germany,Switzerland,7,800,,,,,,,,,,
Denmark,Germany,8,0,4215.0,3200.0,129387.31782379295,29505.0,25136.04032415111,29505.0,Germany,Austria,1,0,,,,,,,,,,
DoggerBank,FirthofForth,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Germany,Austria,2,2500,,,,,,,,,,
DoggerBank,FirthofForth,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Germany,Austria,3,2500,,,,,,,,,,
DoggerBank,FirthofForth,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Germany,Austria,4,2500,,,,,,,,,,
DoggerBank,FirthofForth,4,2,0.0,0.0,0.0,0.0,0.0,0.0,Germany,Austria,5,2500,,,,,,,,,,
DoggerBank,FirthofForth,5,2,0.0,0.0,0.0,0.0,0.0,0.0,Germany,Austria,6,2500,,,,,,,,,,
DoggerBank,FirthofForth,6,2,0.0,0.0,0.0,0.0,0.0,0.0,Germany,Austria,7,2500,,,,,,,,,,
DoggerBank,FirthofForth,7,2,0.0,0.0,0.0,0.0,0.0,0.0,Germany,CzechR,1,0,,,,,,,,,,
DoggerBank,FirthofForth,8,2,0.0,0.0,0.0,0.0,0.0,0.0,Germany,CzechR,2,2200,,,,,,,,,,
DoggerBank,GreatBrit.,1,1,0.0,0.0,50000.0,50000.0,0.0,0.0,Germany,CzechR,3,2200,,,,,,,,,,
DoggerBank,GreatBrit.,2,1,0.0,0.0,50000.0,50000.0,0.0,0.0,Germany,CzechR,4,2200,,,,,,,,,,
DoggerBank,GreatBrit.,3,1,0.0,0.0,50000.0,50000.0,0.0,0.0,Germany,CzechR,5,2200,,,,,,,,,,
DoggerBank,GreatBrit.,4,1,0.0,0.0,50000.0,50000.0,0.0,0.0,Germany,CzechR,6,2200,,,,,,,,,,
DoggerBank,GreatBrit.,5,1,0.0,0.0,50000.0,50000.0,0.0,0.0,Germany,CzechR,7,2200,,,,,,,,,,
DoggerBank,GreatBrit.,6,1,0.0,0.0,50000.0,50000.0,0.0,0.0,Luxemb.,Germany,1,0,,,,,,,,,,
DoggerBank,GreatBrit.,7,1,0.0,0.0,50000.0,50000.0,0.0,0.0,Luxemb.,Germany,2,1000,,,,,,,,,,
DoggerBank,GreatBrit.,8,1,0.0,0.0,50000.0,50000.0,0.0,0.0,Luxemb.,Germany,3,1000,,,,,,,,,,
DoggerBank,MorayFirth,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Luxemb.,Germany,4,1000,,,,,,,,,,
DoggerBank,MorayFirth,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Luxemb.,Germany,5,1000,,,,,,,,,,
DoggerBank,MorayFirth,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Luxemb.,Germany,6,1000,,,,,,,,,,
DoggerBank,MorayFirth,4,2,0.0,0.0,0.0,0.0,0.0,0.0,Luxemb.,Germany,7,1000,,,,,,,,,,
DoggerBank,MorayFirth,5,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Germany,1,0,,,,,,,,,,
DoggerBank,MorayFirth,6,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Germany,2,899.9999999999999,,,,,,,,,,
DoggerBank,MorayFirth,7,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Germany,3,899.9999999999999,,,,,,,,,,
DoggerBank,MorayFirth,8,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Germany,4,899.9999999999999,,,,,,,,,,
EastAnglia,DoggerBank,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Germany,5,899.9999999999999,,,,,,,,,,
EastAnglia,DoggerBank,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Germany,6,899.9999999999999,,,,,,,,,,
EastAnglia,DoggerBank,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Germany,7,899.9999999999999,,,,,,,,,,
EastAnglia,DoggerBank,4,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Belgium,1,0,,,,,,,,,,
EastAnglia,DoggerBank,5,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Belgium,2,2900,,,,,,,,,,
EastAnglia,DoggerBank,6,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Belgium,3,2900,,,,,,,,,,
EastAnglia,DoggerBank,7,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Belgium,4,2900,,,,,,,,,,
EastAnglia,DoggerBank,8,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Belgium,5,2900,,,,,,,,,,
EastAnglia,FirthofForth,1,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Belgium,6,2900,,,,,,,,,,
EastAnglia,FirthofForth,2,2,0.0,0.0,0.0,0.0,0.0,0.0,Netherlands,Belgium,7,2900,,,,,,,,,,
EastAnglia,FirthofForth,3,2,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Germany,1,0,,,,,,,,,,
EastAnglia,FirthofForth,4,2,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Germany,2,3200,,,,,,,,,,
EastAnglia,FirthofForth,5,2,0.0,0.0,0.0,0.0,0.0,0.0,Denmark,Germany,3,3200,,,,,,,,,,
