FromNode,ToNode,lineEfficiency
UtsiraNord,Nordsøen,0.97
SørligeNordsjøI,Nordsøen,0.97
SørligeNordsjøII,Nordsøen,0.97
SørligeNordsjøI,UtsiraNord,0.97
SørligeNordsjøII,UtsiraNord,0.97
SørligeNordsjøII,SørligeNordsjøI,0.97
MorayFirth,GreatBrit.,0.97
FirthofForth,GreatBrit.,0.97
DoggerBank,GreatBrit.,0.97
Hornsea,GreatBrit.,0.97
OuterDowsing,GreatBrit.,0.97
Norfolk,GreatBrit.,0.97
EastAnglia,GreatBrit.,0.97
Borssele,Belgium,0.97
Borssele,Netherlands,0.97
HollandseeKust,Netherlands,0.97
HelgoländerBucht,Netherlands,0.97
HelgoländerBucht,Germany,0.97
Nordsøen,Denmark,0.97
UtsiraNord,NO2,0.97
SørligeNordsjøI,NO2,0.97
SørligeNordsjøII,NO2,0.97
