GeneratorTechnology,Period,generatorEfficiency
Waste,5,0.34
Waste,6,0.34
Waste,7,0.34
Windoffshorefloating,1,1.0
Windoffshorefloating,2,1.0
Windoffshorefloating,3,1.0
Windoffshorefloating,4,1.0
Windoffshorefloating,5,1.0
Windoffshorefloating,6,1.0
Windoffshorefloating,7,1.0
HydrogenCCGT,1,0.574
HydrogenCCGT,2,0.58
HydrogenCCGT,3,0.58
HydrogenCCGT,4,0.582
HydrogenCCGT,5,0.588
HydrogenCCGT,6,0.59
HydrogenCCGT,7,0.59
HydrogenOCGT,1,0.4038
HydrogenOCGT,2,0.405
HydrogenOCGT,3,0.4068
HydrogenOCGT,4,0.4084
HydrogenOCGT,5,0.4096
HydrogenOCGT,6,0.4112
HydrogenOCGT,7,0.413
Hydrogenfuelcell,1,0.5
Hydrogenfuelcell,2,0.5166666666666667
Hydrogenfuelcell,3,0.5333333333333334
Hydrogenfuelcell,4,0.5500000000000002
Hydrogenfuelcell,5,0.5666666666666669
Hydrogenfuelcell,6,0.5833333333333336
Hydrogenfuelcell,7,0.6
