GeneratorTechnology,Period,generatorTypeFuelCost_in_euro_per_GJ
Windoffshorefloating,4,0.0
Windoffshorefloating,5,0.0
Windoffshorefloating,6,0.0
Windoffshorefloating,7,0.0
Windoffshoregrounded,1,0.0
Windoffshoregrounded,2,0.0
Windoffshoregrounded,3,0.0
Windoffshoregrounded,4,0.0
Windoffshoregrounded,5,0.0
Windoffshoregrounded,6,0.0
Windoffshoregrounded,7,0.0
Windonshore,1,0.0
Windonshore,2,0.0
Windonshore,3,0.0
Windonshore,4,0.0
Windonshore,5,0.0
Windonshore,6,0.0
Windonshore,7,0.0
