Node,Terminal,Period,Capacity_(ton/hr)
Greece,LNGImport,5,2763.52
Greece,LNGImport,6,2763.52
Greece,LNGImport,7,2763.52
Lithuania,LNGImport,1,291.31064000000003
Lithuania,LNGImport,2,291.31064000000003
Lithuania,LNGImport,3,291.31064000000003
Lithuania,LNGImport,4,291.31064000000003
Lithuania,LNGImport,5,291.31064000000003
Lithuania,LNGImport,6,291.31064000000003
Lithuania,LNGImport,7,291.31064000000003
Netherlands,LNGImport,1,1546.32
Netherlands,LNGImport,2,1546.32
Netherlands,LNGImport,3,1546.32
Netherlands,LNGImport,4,1546.32
Netherlands,LNGImport,5,1546.32
Netherlands,LNGImport,6,1546.32
Netherlands,LNGImport,7,1546.32
Poland,LNGImport,1,1043.12
Poland,LNGImport,2,1043.12
Poland,LNGImport,3,1043.12
Poland,LNGImport,4,1043.12
Poland,LNGImport,5,1043.12
Poland,LNGImport,6,1043.12
Poland,LNGImport,7,1043.12
Portugal,LNGImport,1,918.0000000000001
Portugal,LNGImport,2,918.0000000000001
Portugal,LNGImport,3,918.0000000000001
Portugal,LNGImport,4,918.0000000000001
Portugal,LNGImport,5,918.0000000000001
Portugal,LNGImport,6,918.0000000000001
Portugal,LNGImport,7,918.0000000000001
Germany,LNGImport,1,1395.36
Germany,LNGImport,2,1395.36
Germany,LNGImport,3,1395.36
Germany,LNGImport,4,1395.36
Germany,LNGImport,5,1395.36
Germany,LNGImport,6,1395.36
Germany,LNGImport,7,1395.36
Estonia,LNGImport,1,64.00904596937374
Estonia,LNGImport,2,64.00904596937374
Estonia,LNGImport,3,64.00904596937374
Estonia,LNGImport,4,64.00904596937374
Estonia,LNGImport,5,64.00904596937374
Estonia,LNGImport,6,64.00904596937374
Estonia,LNGImport,7,64.00904596937374
Finland,LNGImport,1,455.6000000000001
Finland,LNGImport,2,455.6000000000001
Finland,LNGImport,3,455.6000000000001
Finland,LNGImport,4,455.6000000000001
Finland,LNGImport,5,455.6000000000001
Finland,LNGImport,6,455.6000000000001
Finland,LNGImport,7,455.6000000000001
Ireland,LNGImport,1,765.567126384978
Ireland,LNGImport,2,765.567126384978
Ireland,LNGImport,3,765.567126384978
Ireland,LNGImport,4,765.567126384978
Ireland,LNGImport,5,765.567126384978
Ireland,LNGImport,6,765.567126384978
Ireland,LNGImport,7,765.567126384978
Latvia,LNGImport,1,476.00000000000006
Latvia,LNGImport,2,476.00000000000006
Latvia,LNGImport,3,476.00000000000006
Latvia,LNGImport,4,476.00000000000006
Latvia,LNGImport,5,476.00000000000006
Latvia,LNGImport,6,476.00000000000006
Latvia,LNGImport,7,476.00000000000006
Spain,PipelineImport,1,1921.913314862584
Spain,PipelineImport,2,1921.913314862584
Spain,PipelineImport,3,1921.913314862584
Spain,PipelineImport,4,1921.913314862584
Spain,PipelineImport,5,1921.913314862584
Spain,PipelineImport,6,1921.913314862584
Spain,PipelineImport,7,1921.913314862584
Italy,PipelineImport,1,6817.601056114219
Italy,PipelineImport,2,6817.601056114219
Italy,PipelineImport,3,6817.601056114219
Italy,PipelineImport,4,6817.601056114219
Italy,PipelineImport,5,6817.601056114219
Italy,PipelineImport,6,6817.601056114219
Italy,PipelineImport,7,6817.601056114219
Germany,RussianGas,1,4269.406392694064
Germany,RussianGas,2,0.0
Germany,RussianGas,3,0.0
Germany,RussianGas,4,0.0
Germany,RussianGas,5,0.0
Germany,RussianGas,6,0.0
Germany,RussianGas,7,0.0
Lithuania,RussianGas,1,808.7426900584777
Lithuania,RussianGas,2,0.0
Lithuania,RussianGas,3,0.0
Lithuania,RussianGas,4,0.0
Lithuania,RussianGas,5,0.0
Lithuania,RussianGas,6,0.0
Lithuania,RussianGas,7,0.0
Hungary,RussianGas,1,1624.936073059361
Hungary,RussianGas,2,0.0
Hungary,RussianGas,3,0.0
Hungary,RussianGas,4,0.0
Hungary,RussianGas,5,0.0
Hungary,RussianGas,6,0.0
Hungary,RussianGas,7,0.0
Poland,RussianGas,1,3351.251141552512
Poland,RussianGas,2,0.0
Poland,RussianGas,3,0.0
Poland,RussianGas,4,0.0
Poland,RussianGas,5,0.0
Poland,RussianGas,6,0.0
Poland,RussianGas,7,0.0
Romania,RussianGas,1,2581.127853881278
Romania,RussianGas,2,0.0
Romania,RussianGas,3,0.0
Romania,RussianGas,4,0.0
Romania,RussianGas,5,0.0
Romania,RussianGas,6,0.0
Romania,RussianGas,7,0.0
Slovakia,RussianGas,1,2581.127853881278
Slovakia,RussianGas,2,0.0
Slovakia,RussianGas,3,0.0
Slovakia,RussianGas,4,0.0
Slovakia,RussianGas,5,0.0
Slovakia,RussianGas,6,0.0
Slovakia,RussianGas,7,0.0
Bulgaria,RussianGas,1,262.607305936073
Bulgaria,RussianGas,2,0.0
Bulgaria,RussianGas,3,0.0
Bulgaria,RussianGas,4,0.0
Bulgaria,RussianGas,5,0.0
Bulgaria,RussianGas,6,0.0
Bulgaria,RussianGas,7,0.0
Greece,RussianGas,1,271.5786040443575
Greece,RussianGas,2,0.0
Greece,RussianGas,3,0.0
Greece,RussianGas,4,0.0
Greece,RussianGas,5,0.0
Greece,RussianGas,6,0.0
Greece,RussianGas,7,0.0
Croatia,RussianGas,1,154.69667318982388
Croatia,RussianGas,2,0.0
Croatia,RussianGas,3,0.0
Croatia,RussianGas,4,0.0
Croatia,RussianGas,5,0.0
Croatia,RussianGas,6,0.0
Croatia,RussianGas,7,0.0
Macedonia,RussianGas,1,38.812785388127864
Macedonia,RussianGas,2,0.0
Macedonia,RussianGas,3,0.0
Macedonia,RussianGas,4,0.0
Macedonia,RussianGas,5,0.0
Macedonia,RussianGas,6,0.0
Macedonia,RussianGas,7,0.0
Serbia,RussianGas,1,277.23418134377044
Serbia,RussianGas,2,0.0
Serbia,RussianGas,3,0.0
Serbia,RussianGas,4,0.0
Serbia,RussianGas,5,0.0
Serbia,RussianGas,6,0.0
Serbia,RussianGas,7,0.0
BosniaH,RussianGas,1,28.16699282452707
BosniaH,RussianGas,2,0.0
BosniaH,RussianGas,3,0.0
BosniaH,RussianGas,4,0.0
BosniaH,RussianGas,5,0.0
BosniaH,RussianGas,6,0.0
BosniaH,RussianGas,7,0.0
