Node,Terminal,Period,GasScenario,Cost_(EUR/ton)
Lithuania,LNGImport,3,1,867.6971201174666
Lithuania,LNGImport,4,1,896.3820035959822
Lithuania,LNGImport,5,1,914.3968091726953
Lithuania,LNGImport,6,1,927.948576810088
Lithuania,LNGImport,7,1,939.2688254778204
Netherlands,LNGImport,1,1,793.4308144037444
Netherlands,LNGImport,2,1,833.67719768805
Netherlands,LNGImport,3,1,867.6971201174666
Netherlands,LNGImport,4,1,896.3820035959822
Netherlands,LNGImport,5,1,914.3968091726953
Netherlands,LNGImport,6,1,927.948576810088
Netherlands,LNGImport,7,1,939.2688254778204
Poland,LNGImport,1,1,793.4308144037444
Poland,LNGImport,2,1,833.67719768805
Poland,LNGImport,3,1,867.6971201174666
Poland,LNGImport,4,1,896.3820035959822
Poland,LNGImport,5,1,914.3968091726953
Poland,LNGImport,6,1,927.948576810088
Poland,LNGImport,7,1,939.2688254778204
Portugal,LNGImport,1,1,793.4308144037444
Portugal,LNGImport,2,1,833.67719768805
Portugal,LNGImport,3,1,867.6971201174666
Portugal,LNGImport,4,1,896.3820035959822
Portugal,LNGImport,5,1,914.3968091726953
Portugal,LNGImport,6,1,927.948576810088
Portugal,LNGImport,7,1,939.2688254778204
Germany,LNGImport,1,1,793.4308144037444
Germany,LNGImport,2,1,833.67719768805
Germany,LNGImport,3,1,867.6971201174666
Germany,LNGImport,4,1,896.3820035959822
Germany,LNGImport,5,1,914.3968091726953
Germany,LNGImport,6,1,927.948576810088
Germany,LNGImport,7,1,939.2688254778204
Estonia,LNGImport,1,1,793.4308144037444
Estonia,LNGImport,2,1,833.67719768805
Estonia,LNGImport,3,1,867.6971201174666
Estonia,LNGImport,4,1,896.3820035959822
Estonia,LNGImport,5,1,914.3968091726953
Estonia,LNGImport,6,1,927.948576810088
Estonia,LNGImport,7,1,939.2688254778204
Finland,LNGImport,1,1,793.4308144037444
Finland,LNGImport,2,1,833.67719768805
Finland,LNGImport,3,1,867.6971201174666
Finland,LNGImport,4,1,896.3820035959822
Finland,LNGImport,5,1,914.3968091726953
Finland,LNGImport,6,1,927.948576810088
Finland,LNGImport,7,1,939.2688254778204
Ireland,LNGImport,1,1,793.4308144037444
Ireland,LNGImport,2,1,833.67719768805
Ireland,LNGImport,3,1,867.6971201174666
Ireland,LNGImport,4,1,896.3820035959822
Ireland,LNGImport,5,1,914.3968091726953
Ireland,LNGImport,6,1,927.948576810088
Ireland,LNGImport,7,1,939.2688254778204
Latvia,LNGImport,1,1,793.4308144037444
Latvia,LNGImport,2,1,833.67719768805
Latvia,LNGImport,3,1,867.6971201174666
Latvia,LNGImport,4,1,896.3820035959822
Latvia,LNGImport,5,1,914.3968091726953
Latvia,LNGImport,6,1,927.948576810088
Latvia,LNGImport,7,1,939.2688254778204
Spain,PipelineImport,1,1,278.0
Spain,PipelineImport,2,1,278.0
Spain,PipelineImport,3,1,278.0
Spain,PipelineImport,4,1,278.0
Spain,PipelineImport,5,1,278.0
Spain,PipelineImport,6,1,278.0
Spain,PipelineImport,7,1,278.0
Italy,PipelineImport,1,1,675.0
Italy,PipelineImport,2,1,278.0
Italy,PipelineImport,3,1,278.0
Italy,PipelineImport,4,1,278.0
Italy,PipelineImport,5,1,278.0
Italy,PipelineImport,6,1,278.0
Italy,PipelineImport,7,1,278.0
Germany,RussianGas,1,1,800.0
Germany,RussianGas,2,1,800.0
Germany,RussianGas,3,1,800.0
Germany,RussianGas,4,1,800.0
Germany,RussianGas,5,1,800.0
Germany,RussianGas,6,1,800.0
Germany,RussianGas,7,1,800.0
Lithuania,RussianGas,1,1,800.0
Lithuania,RussianGas,2,1,800.0
Lithuania,RussianGas,3,1,800.0
Lithuania,RussianGas,4,1,800.0
Lithuania,RussianGas,5,1,800.0
Lithuania,RussianGas,6,1,800.0
Lithuania,RussianGas,7,1,800.0
Hungary,RussianGas,1,1,800.0
Hungary,RussianGas,2,1,800.0
Hungary,RussianGas,3,1,800.0
Hungary,RussianGas,4,1,800.0
Hungary,RussianGas,5,1,800.0
Hungary,RussianGas,6,1,800.0
Hungary,RussianGas,7,1,800.0
Poland,RussianGas,1,1,800.0
Poland,RussianGas,2,1,800.0
Poland,RussianGas,3,1,800.0
Poland,RussianGas,4,1,800.0
Poland,RussianGas,5,1,800.0
Poland,RussianGas,6,1,800.0
Poland,RussianGas,7,1,800.0
Romania,RussianGas,1,1,800.0
Romania,RussianGas,2,1,800.0
Romania,RussianGas,3,1,800.0
Romania,RussianGas,4,1,800.0
Romania,RussianGas,5,1,800.0
Romania,RussianGas,6,1,800.0
Romania,RussianGas,7,1,800.0
Slovakia,RussianGas,1,1,800.0
Slovakia,RussianGas,2,1,800.0
Slovakia,RussianGas,3,1,800.0
Slovakia,RussianGas,4,1,800.0
Slovakia,RussianGas,5,1,800.0
Slovakia,RussianGas,6,1,800.0
Slovakia,RussianGas,7,1,800.0
Bulgaria,RussianGas,1,1,800.0
Bulgaria,RussianGas,2,1,800.0
Bulgaria,RussianGas,3,1,800.0
Bulgaria,RussianGas,4,1,800.0
Bulgaria,RussianGas,5,1,800.0
Bulgaria,RussianGas,6,1,800.0
Bulgaria,RussianGas,7,1,800.0
Hungary,RussianGas,1,1,800.0
Hungary,RussianGas,2,1,800.0
Hungary,RussianGas,3,1,800.0
Hungary,RussianGas,4,1,800.0
Hungary,RussianGas,5,1,800.0
Hungary,RussianGas,6,1,800.0
Hungary,RussianGas,7,1,800.0
Poland,RussianGas,1,1,800.0
Poland,RussianGas,2,1,800.0
Poland,RussianGas,3,1,800.0
Poland,RussianGas,4,1,800.0
Poland,RussianGas,5,1,800.0
Poland,RussianGas,6,1,800.0
Poland,RussianGas,7,1,800.0
Romania,RussianGas,1,1,800.0
Romania,RussianGas,2,1,800.0
Romania,RussianGas,3,1,800.0
Romania,RussianGas,4,1,800.0
Romania,RussianGas,5,1,800.0
Romania,RussianGas,6,1,800.0
Romania,RussianGas,7,1,800.0
Slovakia,RussianGas,1,1,800.0
Slovakia,RussianGas,2,1,800.0
Slovakia,RussianGas,3,1,800.0
Slovakia,RussianGas,4,1,800.0
Slovakia,RussianGas,5,1,800.0
Slovakia,RussianGas,6,1,800.0
Slovakia,RussianGas,7,1,800.0
Bulgaria,RussianGas,1,1,800.0
Bulgaria,RussianGas,2,1,800.0
Bulgaria,RussianGas,3,1,800.0
Bulgaria,RussianGas,4,1,800.0
Bulgaria,RussianGas,5,1,800.0
Bulgaria,RussianGas,6,1,800.0
Bulgaria,RussianGas,7,1,800.0
Greece,RussianGas,1,1,800.0
Greece,RussianGas,2,1,800.0
Greece,RussianGas,3,1,800.0
Greece,RussianGas,4,1,800.0
Greece,RussianGas,5,1,800.0
Greece,RussianGas,6,1,800.0
Greece,RussianGas,7,1,800.0
Croatia,RussianGas,1,1,800.0
Croatia,RussianGas,2,1,800.0
Croatia,RussianGas,3,1,800.0
Croatia,RussianGas,4,1,800.0
Croatia,RussianGas,5,1,800.0
Croatia,RussianGas,6,1,800.0
Croatia,RussianGas,7,1,800.0
Macedonia,RussianGas,1,1,800.0
Macedonia,RussianGas,2,1,800.0
Macedonia,RussianGas,3,1,800.0
Macedonia,RussianGas,4,1,800.0
Macedonia,RussianGas,5,1,800.0
Macedonia,RussianGas,6,1,800.0
Macedonia,RussianGas,7,1,800.0
Serbia,RussianGas,1,1,800.0
Serbia,RussianGas,2,1,800.0
Serbia,RussianGas,3,1,800.0
Serbia,RussianGas,4,1,800.0
Serbia,RussianGas,5,1,800.0
Serbia,RussianGas,6,1,800.0
Serbia,RussianGas,7,1,800.0
BosniaH,RussianGas,1,1,800.0
BosniaH,RussianGas,2,1,800.0
BosniaH,RussianGas,3,1,800.0
BosniaH,RussianGas,4,1,800.0
BosniaH,RussianGas,5,1,800.0
BosniaH,RussianGas,6,1,800.0
BosniaH,RussianGas,7,1,800.0
