Node,Storage_(ton)
Austria,6870503.597122301
Belgium,647482.0143884891
Bulgaria,417266.1870503597
CzechR,2589928.057553956
Germany,17647482.01438849
Denmark,654676.2589928057
Spain,2460431.654676259
France,9244604.316546762
Croatia,374100.7194244604
Hungary,4834532.37410072
Italy,14223021.58273381
Latvia,1568345.323741007
Netherlands,10345323.74100719
Poland,2575539.568345323
Portugal,258992.8057553956
Romania,2374100.719424461
Slovakia,2784172.661870503
