Period,col1,col2,col3
7.0,2025.0,678.0,91.00671140939598
,2030.0,818.0,109.79865771812081
,2035.0,1008.0,135.3020134228188
,2040.0,1262.0,169.39597315436242
,2045.0,1603.0,215.16778523489933
,2050.0,2063.0,276.9127516778523
,2055.0,2523.0,338.6577181208054
