Period,col1,Period.1,Power,Industry,Transport,col6,col7,col8,col9,Industry_CO2_reduction,Steel,Ammonia,Refinery,Total,col15,col16,col17
1.0,1558.668,2025.0,774.4535725308419,784.214042248366,936.92295661209,1558.667614779208,2495.590571391298,580.9370031121063,2025,1,177.90931291008593,37.96382251396401,48.07186599369849,263.9450014177484,,,
2.0,1055.831,2030.0,477.50963414116023,578.3214264460818,761.357022642012,1055.831060587242,1817.188083229254,358.19192480266656,2030,0.7374535462129909,131.1998537098595,27.996555540723342,35.45076805012863,194.64717730071146,,,
3.0,554.934,2035.0,172.31749822095125,382.6167215147866,519.2191698754107,554.9342197357379,1074.1533896111487,129.25966713939906,2035,0.4878983299225459,86.80165664649856,18.522485602038987,23.454183134585918,128.77832538312347,,,
4.0,247.02,2040.0,39.66228935527933,207.3573160262769,305.5096989184774,247.01960538155623,552.5293043000336,29.751675674145787,2040,0.26441418395388205,47.041745790916224,10.038173149799809,12.71088321786416,69.79080215858019,,,
5.0,154.121,2045.0,34.7089607688198,119.41164565328499,138.7767484804826,154.1206064221048,292.8973549025874,26.036059959386183,2045,0.1522692010346156,27.09010893343621,5.780720922421252,7.319864627103577,40.190694482961035,,,
6.0,123.967,2050.0,33.05785124,90.90909085999999,103.30578520000003,123.96694209999998,227.2727273,0.0,2050,0,0,0.0,0.0,0.0,,,
7.0,93.813,2055.0,31.406741711180196,62.40653606671499,67.83482191951745,93.8132777778952,161.64809969741265,0.0,2055,0,0,0.0,0.0,0.0,,,
,,,Power,Industry,Transport,,,,,,,,,,,,
,,2005.0,1508.264463,1074.380165,1074.380165,,,,,,,,,,,,
,,2006.0,1468.40565802841,1050.4999606259698,1059.5838318169704,,,,old,update,,,,,,,
,,2007.0,1435.36766924924,1021.0143243031603,1047.70431602904,,,2025.0,774.4535725308419,580.9370031121063,,,,,,,
,,2008.0,1410.83915932224,982.2019175695,1038.52664747963,,,2030.0,477.50963414116023,358.19192480266656,,,,,,,
,,2009.0,1386.31064939523,942.0320556909301,1035.58581927436,,,2035.0,172.31749822095125,129.25966713939906,,,,,,,
,,2010.0,1354.60333626824,912.85735920909,1033.1341772544304,,,2040.0,39.66228935527933,29.751675674145787,,,,,,,
,,2011.0,1322.25415737736,907.6923630387803,1033.6778541410001,,,2045.0,34.7089607688198,26.036059959386183,,,,,,,
,,2012.0,1289.90497848649,902.5273668684599,1034.22153102757,,,2050.0,33.05785124,26.036059959386183,,,,,,,
,,2013.0,1257.55579959562,897.3623706981398,1030.68508183708,,,2055.0,31.406741711180196,26.036059959386183,,,,,,,
,,2014.0,1226.4078459869,894.0842706943001,1023.6320512509099,,,,,,,,,,,,
,,2015.0,1196.74546707577,889.92704936617,1015.9725672914399,,,,,,,,,,,,
,,2016.0,1167.08308816465,885.7698280380298,1008.3130833319699,,,,,,,,,,,,
,,2017.0,1137.42070925352,881.6126067098999,1007.9349401833599,,,,,,,,,,,,
,,2018.0,1107.93888062351,877.1667240916402,1008.2973283496397,,,,,,,,,,,,
,,2019.0,1078.95065209419,872.1420882141399,1008.74486967447,958.4000000000002,,,,,,,,,,,
,,2020.0,1049.96242356488,864.96606429994,1004.77657731867,842.8200000000002,,,,,,,,,,,
,,2021.0,1020.97419503557,843.3399311101799,992.86731363314,908.8900000000002,,,,,,,,,,,
,,2022.0,991.985966506261,821.803438776689,980.8684090913501,933.0899999999999,,,,,,,,,,,
,,2023.0,953.418477418966,810.768850949054,967.9468606016801,748.6899999999999,,,,,,,,,,,
,,2024.0,914.767511947225,799.817739505865,950.3074938936999,686.1900000000003,0.7159745409015027,,,,,,,,,,
,,2025.0,876.116546475484,784.214042248366,936.92295661209,657.1969436762159,,,,,,,,,,,
,,2026.0,827.364563757271,756.4370800512391,930.21556521728,620.6268615684677,,,,,,,,,,,
,,2027.0,775.829927081369,731.442771811811,915.4671424555901,581.9694410995635,,,,,,,,,,,
,,2028.0,724.295290405467,704.810569756863,879.3374228076899,543.3120206306593,,,,,,,,,,,
,,2029.0,668.661534934619,681.7108908092611,868.5633290075001,501.5797485856245,,,,,,,,,,,
,,2030.0,610.018690163769,658.3468338588611,847.5992737230797,457.5902833633056,,,,,,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
,,2031.0,551.375845392919,610.6994860431209,802.0463432200199,413.60081814098686,,,,,EU,825.99,719.2099999999999,783.77,810.08,640.73,585.26
,,2032.0,481.79237772407,573.9927611253701,765.15149252548,361.4045179269034,,,,,Nodes,958.4000000000002,842.8200000000002,908.8900000000002,933.0899999999999,748.6899999999999,686.1900000000003
,,2033.0,408.717878383038,540.777080158093,722.6813588497091,306.58950750301375,,,,,,,,,,,
,,2034.0,335.643379042005,507.79097104496395,669.306644891771,251.7744970791233,,,,,,,,,,,
,,2035.0,258.264489389203,485.132060413553,616.3043774128939,193.7306557780349,,,,,,,,,,,
,,2036.0,213.240359498848,432.82255126321,566.670548795322,159.95692935469737,,,,,,,,,,,
,,2037.0,172.543610457514,380.515362102205,517.954250467531,129.42927958581916,,,,,,,,,,,
,,2038.0,130.027547405568,331.601710967666,470.715588900619,97.53691685475404,,,,,,,,,,,
,,2039.0,87.5114843536232,283.0119228272988,424.45108380068706,65.64455412368984,,,,,,,,,,,
,,2040.0,41.3133988840992,243.58099417218583,375.688717727449,30.99021424573235,,,,,,,,,,,
,,2041.0,40.4878441196892,223.79530949295378,343.154849636084,30.370944959939024,,,,,,,,,,,
,,2042.0,39.6622893552793,206.13561517005672,306.880378832148,29.751675674145773,,,,,,,,,,,
,,2043.0,38.8367345908694,188.4759208471586,268.677559389995,29.13240638835252,,,,,,,,,,,
,,2044.0,38.0111798264595,174.79874044902948,233.146989006711,28.513137102559266,,,,,,,,,,,
,,2045.0,37.1856250620496,161.13018090201638,202.13136552527703,27.89386781676602,,,,,,,,,,,
,,2046.0,36.3600702976396,147.46162135500342,179.65498161734698,27.27459853097269,,,,,,,,,,,
,,2047.0,35.5345155332297,133.7930618079903,157.34827806859298,26.655329245179438,,,,,,,,,,,
,,2048.0,34.7089607688198,119.62660587562121,136.91022466987502,26.036059959386183,,,,,,,,,,,
,,2049.0,33.8834060044099,105.2678483678101,116.66447284659802,25.416790673592928,,,,,,,,,,,
,,2050.0,33.05785124,90.90909085999999,103.30578520000003,24.797521387799673,,,,,,,,,,,
