Table,Key,Value,Reason
Industry/SteelInitialCapacity.csv,Slovakia|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Finland|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Finland|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Finland|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Finland|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Romania|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Romania|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Romania|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Romania|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Luxemb.|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Luxemb.|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Luxemb.|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Luxemb.|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Hungary|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Hungary|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Hungary|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Hungary|BF-BOF-CCS,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Greece|BF-BOF-BioCarbon,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Greece|H2-DRI,0.0,InternalEMPIRE Pyomo Param default for absent source key
Industry/SteelInitialCapacity.csv,Greece|Scrap,0.0,InternalEMPIRE Pyomo Param default for absent source key
