PlantType,Period,RetirementFactor
H2-Cement,1,0.0
H2-Cement,2,0.0
H2-Cement,3,0.0
H2-Cement,4,0.0
H2-Cement,5,0.0
H2-Cement,6,0.0
H2-Cement,7,0.0
NG-CCS-Cement,1,0.0
NG-CCS-Cement,2,0.0
NG-CCS-Cement,3,0.0
NG-CCS-Cement,4,0.0
NG-CCS-Cement,5,0.0
NG-CCS-Cement,6,0.0
NG-CCS-Cement,7,0.0
NG-Cement,1,0.48
NG-Cement,2,0.6000000000000001
NG-Cement,3,0.7200000000000001
NG-Cement,4,0.8400000000000001
NG-Cement,5,0.96
NG-Cement,6,1.0
NG-Cement,7,1.0
