PlantType,Period,InvCost_(EUR/(ton/hr))
NG-Ammonia,1,16873.45679012346
NG-Ammonia,2,999999999.0
NG-Ammonia,3,999999999.0
NG-Ammonia,4,999999999.0
NG-Ammonia,5,999999999.0
NG-Ammonia,6,999999999.0
NG-Ammonia,7,999999999.0
H2-Ammonia,1,999999999.0
H2-Ammonia,2,7561.59741512346
H2-Ammonia,3,7561.59741512346
H2-Ammonia,4,7561.59741512346
H2-Ammonia,5,7561.59741512346
H2-Ammonia,6,7561.59741512346
H2-Ammonia,7,7561.59741512346
